"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"background"
"725215"	"406127"		"725215"	"724777"						"100576745"
"107964258"	"102656661"		"107964258"	"724838"						"100576746"
"100576797"	"107965225"		"100576797"	"724865"						"100576747"
"406088"	"412859"		"406088"	"724907"						"100576748"
"113219358"	"410517"		"113219358"	"724919"						"100576749"
"726981"	"412304"		"726981"	"724951"						"100576754"
"102655153"	"408965"		"102655153"	"725008"						"100576758"
"551879"	"552811"		"551879"	"725026"						"100576759"
"724717"	"413868"		"724717"	"725031"						"100576760"
"725026"	"100577980"		"725026"	"725038"						"100576761"
"410521"	"552028"		"410521"	"725074"						"100576765"
"726228"	"413186"		"726228"	"725114"						"100576767"
"413679"	"725414"		"413679"	"725146"						"100576768"
"100576118"	"726818"		"100576118"	"725154"						"100576770"
"725382"	"100576855"		"725382"	"725202"						"100576773"
"409096"	"551553"		"409096"	"725215"						"100576774"
"102656583"	"406152"		"102656583"	"725245"						"100576775"
"724865"	"410624"		"724865"	"725258"						"100576779"
"725204"	"724756"		"725204"	"725274"						"100576781"
"408383"	"409124"		"408383"	"725288"						"100576783"
"768250"	"100578113"		"768250"	"725305"						"100576784"
"726750"	"552295"		"726750"	"725325"						"100576789"
"550791"	"552799"		"550791"	"725343"						"100576794"
"409937"	"413997"		"409937"	"725382"						"100576795"
"724608"	"100578121"		"724608"	"725414"						"100576796"
"409042"	"551005"		"409042"	"725462"						"100576797"
"412925"	"408622"		"412925"	"725483"						"100576799"
"413995"	"411100"		"413995"	"725489"						"100576801"
"411622"	"100578467"		"411622"	"725500"						"100576803"
"100577440"	"102655243"		"100577440"	"725606"						"100576805"
"102654173"	"412602"		"102654173"	"725688"						"100576812"
"551765"	"413867"		"551765"	"725720"						"100576814"
"724640"	"725483"		"724640"	"725776"						"100576816"
"412475"	"409368"		"412475"	"725817"						"100576817"
"410092"	"413785"		"410092"	"725832"						"100576818"
"551428"	"113218716"		"551428"	"725922"						"100576819"
"725038"	"552493"		"725038"	"725997"						"100576820"
"410621"	"551559"		"410621"	"726126"						"100576826"
"410236"	"552503"		"410236"	"726165"						"100576828"
"409821"	"100576924"		"409821"	"726205"						"100576829"
"552100"	"113218991"		"552100"	"726228"						"100576831"
"410788"	"724188"		"410788"	"726247"						"100576836"
"409228"	"409802"		"409228"	"726260"						"100576838"
"102654066"	"726886"		"102654066"	"726286"						"100576839"
"551950"	"100577213"		"551950"	"726318"						"100576840"
